City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,punta arenas,-53.15,-70.9167,3.05,76,98,3.84,CL,1693004365
166,phon,15.816,102.5998,24.85,85,75,4.8,TH,1693004365
167,turpan,42.9333,89.1667,30.18,18,0,1.32,CN,1693004366
168,san patricio,28.017,-97.5169,36.4,51,3,6.67,US,1693004366
169,jeddah,21.5169,39.2192,33.92,62,0,2.06,SA,1693004179
170,hawaiian paradise park,19.5933,-154.9731,28.35,74,11,4.46,US,1693004366
171,laguna,38.421,-121.4238,35.75,34,0,4.63,US,1693004367
172,el haouaria,37.05,11.0144,28.01,69,0,3.82,TN,1693004367
173,jinghong,21.991,100.7341,22.59,100,100,0.67,CN,1693004367
174,kuusamo,65.9667,29.1833,10.02,93,0,1.03,FI,1693004367
175,ust-nera,64.5667,143.2,11.3,59,8,1.63,RU,1693004367
176,gaigeturi,33.4644,126.3183,25.03,78,40,2.57,KR,1693004367
177,vuokatti,64.146,28.2697,5.92,91,47,0.23,FI,1693004367
178,humahuaca,-23.2054,-65.3505,14.28,8,100,5.31,AR,1693004368
179,saint-philippe,-21.3585,55.7679,19.77,75,41,5.37,RE,1693004368
180,susuman,62.7833,148.1667,7.48,88,100,1.9,RU,1693004368
181,klyuchi,52.2667,79.1667,11.99,58,1,0.94,RU,1693004369
182,pass christian,30.3158,-89.2475,37.07,67,22,0.89,US,1693004369
183,grand falls-windsor,48.9332,-55.6649,15.21,69,5,0.82,CA,1693004369
184,kidal,18.4411,1.4078,32.5,37,97,7.42,ML,1693004369
185,owando,-0.4819,15.8999,23.17,90,100,1.29,CG,1693004369
186,mejit,10.2753,170.8646,28.21,71,96,5.53,MH,1693004370
187,kodinsk,58.6881,99.1844,14.2,81,5,1.58,RU,1693004370
188,segorbe,39.8138,-0.4521,26.09,72,18,2.07,ES,1693004370
189,nar'yan-mar,67.6713,53.087,5.79,81,100,5.84,RU,1693004370
190,phongsali,21.6833,102.1058,16.26,100,86,0.57,LA,1693004371
191,kangding,30.0513,101.9603,15.21,94,98,1.55,CN,1693004371
192,bubaque,11.2833,-15.8333,26.62,81,86,4.43,GW,1693004371
193,gornopravdinsk,60.05,69.9,5.75,99,60,2.38,RU,1693004371
194,akureyri,65.6835,-18.0878,14.96,63,0,0.0,IS,1693004371
195,three points,32.0767,-111.3137,40.55,18,0,5.14,US,1693004371
196,port blair,11.6667,92.75,27.02,89,75,3.6,IN,1693004371
197,aguas formosas,-17.0822,-40.9358,28.51,50,81,2.54,BR,1693004372
